Step,LJ_Potential,Kinetic_Energy,Total_Energy
0,-0.034904,0.000000,-0.034904
1,-0.034949,0.000045,-0.034904
2,-0.035084,0.000180,-0.034904
3,-0.035310,0.000407,-0.034904
4,-0.035633,0.000729,-0.034903
5,-0.036055,0.001152,-0.034903
6,-0.036584,0.001682,-0.034902
7,-0.037228,0.002327,-0.034902
8,-0.037998,0.003098,-0.034901
9,-0.038908,0.004008,-0.034900
10,-0.039973,0.005074,-0.034899
11,-0.041213,0.006316,-0.034897
12,-0.042655,0.007760,-0.034895
13,-0.044327,0.009434,-0.034893
14,-0.046267,0.011377,-0.034890
15,-0.048517,0.013630,-0.034887
16,-0.051129,0.016246,-0.034883
17,-0.054159,0.019279,-0.034880
18,-0.057662,0.022784,-0.034878
19,-0.061677,0.026797,-0.034880
20,-0.066189,0.031297,-0.034892
21,-0.071050,0.036124,-0.034926
22,-0.075814,0.040809,-0.035005
23,-0.079437,0.044273,-0.035163
24,-0.079894,0.044479,-0.035415
25,-0.074312,0.038697,-0.035616
26,-0.061599,0.026306,-0.035293
27,-0.048661,0.014294,-0.034367
28,-0.048927,0.014630,-0.034298
29,-0.063332,0.028122,-0.035211
30,-0.078831,0.043240,-0.035592
31,-0.087751,0.052347,-0.035405
32,-0.090859,0.055720,-0.035139
33,-0.091123,0.056160,-0.034963
34,-0.090752,0.055881,-0.034871
35,-0.090948,0.056118,-0.034830
36,-0.092244,0.057419,-0.034824
37,-0.094711,0.059851,-0.034860
38,-0.097872,0.062894,-0.034978
39,-0.100168,0.064898,-0.035270
40,-0.097859,0.062015,-0.035844
41,-0.084340,0.047915,-0.036426
42,-0.056320,0.020861,-0.035459
43,-0.033867,0.000720,-0.033148
44,-0.047231,0.012590,-0.034641
45,-0.077796,0.041409,-0.036386
46,-0.096807,0.060748,-0.036059
47,-0.102624,0.067216,-0.035408
48,-0.102151,0.067114,-0.035036
49,-0.100057,0.065176,-0.034881
50,-0.098378,0.063537,-0.034841
51,-0.097649,0.062776,-0.034873
52,-0.097452,0.062467,-0.034985
53,-0.096340,0.061126,-0.035214
54,-0.091460,0.055898,-0.035562
55,-0.079083,0.043339,-0.035744
56,-0.059423,0.024376,-0.035047
57,-0.045009,0.011047,-0.033962
58,-0.050593,0.016008,-0.034586
59,-0.067960,0.032310,-0.035650
60,-0.080595,0.044879,-0.035717
61,-0.084366,0.048986,-0.035380
62,-0.082363,0.047254,-0.035109
63,-0.077861,0.042896,-0.034965
64,-0.072727,0.037826,-0.034901
65,-0.067805,0.032928,-0.034877
66,-0.063407,0.028536,-0.034871
67,-0.059604,0.024732,-0.034872
68,-0.056371,0.021496,-0.034875
69,-0.053652,0.018773,-0.034879
70,-0.051385,0.016502,-0.034882
71,-0.049515,0.014630,-0.034885
72,-0.047997,0.013110,-0.034888
73,-0.046796,0.011907,-0.034890
74,-0.045886,0.010995,-0.034891
75,-0.045250,0.010358,-0.034892
76,-0.044879,0.009988,-0.034892
77,-0.044774,0.009883,-0.034891
78,-0.044942,0.010051,-0.034890
79,-0.045397,0.010508,-0.034889
80,-0.046166,0.011279,-0.034887
81,-0.047280,0.012396,-0.034884
82,-0.048784,0.013903,-0.034881
83,-0.050731,0.015854,-0.034877
84,-0.053178,0.018304,-0.034874
85,-0.056181,0.021307,-0.034874
86,-0.059764,0.024885,-0.034879
87,-0.063867,0.028968,-0.034900
88,-0.068223,0.033269,-0.034954
89,-0.072106,0.037030,-0.035076
90,-0.073923,0.038619,-0.035304
91,-0.070860,0.035258,-0.035602
92,-0.059964,0.024340,-0.035624
93,-0.043501,0.008683,-0.034818
94,-0.034600,0.000536,-0.034064
95,-0.043399,0.008576,-0.034823
96,-0.059694,0.024067,-0.035626
97,-0.070377,0.034774,-0.035603
98,-0.073209,0.037904,-0.035305
99,-0.071149,0.036071,-0.035077
100,-0.067003,0.032047,-0.034956
101,-0.062362,0.027460,-0.034902
102,-0.057946,0.023064,-0.034882
103,-0.054022,0.019145,-0.034877
104,-0.050646,0.015768,-0.034878
105,-0.047791,0.012910,-0.034881
106,-0.045400,0.010515,-0.034885
107,-0.043409,0.008520,-0.034889
108,-0.041760,0.006868,-0.034892
109,-0.040405,0.005510,-0.034894
110,-0.039301,0.004405,-0.034897
111,-0.038415,0.003517,-0.034898
112,-0.037719,0.002819,-0.034900
113,-0.037191,0.002290,-0.034901
114,-0.036814,0.001913,-0.034902
115,-0.036575,0.001672,-0.034902
116,-0.036462,0.001559,-0.034903
117,-0.036469,0.001566,-0.034903
118,-0.036590,0.001687,-0.034903
119,-0.036822,0.001919,-0.034903
120,-0.037164,0.002261,-0.034903
121,-0.037617,0.002714,-0.034903
122,-0.038182,0.003279,-0.034903
123,-0.038864,0.003962,-0.034902
124,-0.039669,0.004767,-0.034902
125,-0.040605,0.005704,-0.034901
126,-0.041681,0.006780,-0.034901
127,-0.042910,0.008010,-0.034900
128,-0.044306,0.009408,-0.034898
129,-0.045888,0.010991,-0.034897
130,-0.047677,0.012781,-0.034895
131,-0.049698,0.014804,-0.034894
132,-0.051982,0.017090,-0.034891
133,-0.054563,0.019674,-0.034889
134,-0.057482,0.022596,-0.034886
135,-0.060785,0.025902,-0.034883
136,-0.064519,0.029639,-0.034880
137,-0.068732,0.033854,-0.034878
138,-0.073456,0.038577,-0.034880
139,-0.078686,0.043799,-0.034887
140,-0.084330,0.049422,-0.034908
141,-0.090118,0.055164,-0.034954
142,-0.095450,0.060408,-0.035042
143,-0.099215,0.064037,-0.035178
144,-0.099819,0.064508,-0.035311
145,-0.096164,0.060913,-0.035252
146,-0.090383,0.055575,-0.034809
147,-0.089653,0.055266,-0.034387
148,-0.099909,0.065234,-0.034675
149,-0.117122,0.081774,-0.035348
150,-0.131098,0.095024,-0.036074
151,-0.130593,0.093261,-0.037333
152,-0.100823,0.062612,-0.038212
153,-0.045898,0.012684,-0.033214
154,-0.041505,0.009047,-0.032458
155,-0.095932,0.057828,-0.038105
156,-0.128919,0.091296,-0.037623
157,-0.129577,0.093239,-0.036339
158,-0.112848,0.077430,-0.035418
159,-0.093397,0.058964,-0.034433
160,-0.085708,0.051428,-0.034280
161,-0.091920,0.056851,-0.035069
162,-0.100813,0.065319,-0.035494
163,-0.104478,0.069090,-0.035389
164,-0.102659,0.067494,-0.035165
165,-0.097699,0.062693,-0.035006
166,-0.091549,0.056627,-0.034922
167,-0.085297,0.050414,-0.034883
168,-0.079442,0.044574,-0.034868
169,-0.074166,0.039301,-0.034865
170,-0.069502,0.034636,-0.034866
171,-0.065419,0.030550,-0.034869
172,-0.061864,0.026991,-0.034873
173,-0.058781,0.023905,-0.034876
174,-0.056119,0.021239,-0.034879
175,-0.053832,0.018950,-0.034882
176,-0.051885,0.017001,-0.034884
177,-0.050248,0.015363,-0.034885
178,-0.048901,0.014014,-0.034886
179,-0.047827,0.012940,-0.034887
180,-0.047020,0.012132,-0.034887
181,-0.046476,0.011588,-0.034887
182,-0.046199,0.011313,-0.034887
183,-0.046202,0.011316,-0.034886
184,-0.046501,0.011617,-0.034884
185,-0.047122,0.012240,-0.034882
